section,rank,lags,score,median_signal_strength,stability_penalty,phi_std_sum,mean_abs_phi,max_abs_phi,n_lags
1s_micro,13,"(52,)",-0.004783535141192373,0.0,0.004783535141192373,0.004783535141192373,0.0014273279352273003,0.044208609918679115,1
1s_micro,14,"(370,)",-0.004786083016852903,0.0,0.004786083016852903,0.004786083016852903,0.0013271081490022624,0.05869412114465194,1
1s_micro,15,"(500,)",-0.004822640825093601,0.0,0.004822640825093601,0.004822640825093601,0.0014528914397177704,0.03342447147695606,1
1s_micro,16,"(540,)",-0.004823311310625984,0.0,0.004823311310625984,0.004823311310625984,0.0013804946842758707,0.0696793725269677,1
1s_micro,17,"(410,)",-0.004833329499483199,0.0,0.004833329499483199,0.004833329499483199,0.0014558442146936005,0.0368745115567863,1
1s_micro,18,"(510,)",-0.004859877753302912,0.0,0.004859877753302912,0.004859877753302912,0.00146095410008202,0.060538573323482094,1
1s_micro,19,"(570,)",-0.004885216216091889,0.0,0.004885216216091889,0.004885216216091889,0.001494152845703315,0.03688720815937605,1
1s_micro,20,"(440,)",-0.004913812183193532,0.0,0.004913812183193532,0.004913812183193532,0.0016052184306484234,0.033648893603220244,1
1s_micro,21,"(200,)",-0.004959432061987054,0.0,0.004959432061987054,0.004959432061987054,0.0015519386846995203,0.03771802411455077,1
1s_micro,22,"(390,)",-0.004973894817428959,0.0,0.004973894817428959,0.004973894817428959,0.0015009946266518628,0.04655564356445126,1
1s_micro,23,"(470,)",-0.005008025088919593,0.0,0.005008025088919593,0.005008025088919593,0.0015911327578845473,0.03401612255340273,1
1s_micro,24,"(260,)",-0.005023101079693956,0.0,0.005023101079693956,0.005023101079693956,0.0015249116817354668,0.037890667383131585,1
1s_micro,25,"(160,)",-0.005025963596548988,0.0,0.005025963596548988,0.005025963596548988,0.0014517111979562517,0.05325281238189423,1
1s_micro,26,"(450,)",-0.005044898354124818,0.0,0.005044898354124818,0.005044898354124818,0.0015796547366226327,0.036009816412169104,1
1s_micro,27,"(460,)",-0.005076174803199911,0.0,0.005076174803199911,0.005076174803199911,0.0014675599630682708,0.05696995414375112,1
1s_micro,28,"(240,)",-0.005092863167700613,0.0,0.005092863167700613,0.005092863167700613,0.0015835730231103832,0.039243737613577204,1
1s_micro,29,"(340,)",-0.005103272333727531,0.0,0.005103272333727531,0.005103272333727531,0.001630283536345781,0.03287771413897381,1
1s_micro,30,"(430,)",-0.005126938905451895,0.0,0.005126938905451895,0.005126938905451895,0.0015485936796813633,0.0378007069839048,1
